"시점","행정구역별(1)",재정자립도(세입과목개편전),재정자립도(세입과목개편후)
"2016","인천광역시",67.0,62.5
"2016","광주광역시",51.5,46.7
"2016","대전광역시",55.0,50.3
"2016","울산광역시",72.2,62.3
"2016","세종특별자치시",59.0,44.2
"2016","경기도",67.4,61.6
"2016","강원도",27.1,22.4
"2016","충청북도",35.2,28.8
"2016","충청남도",38.7,33.5
"2016","전라북도",29.7,23.6
"2016","전라남도",23.8,19.3
"2016","경상북도",33.3,26.1
"2016","경상남도",43.5,36.6
"2016","제주특별자치도",38.2,31.5
"2017","전국",53.7,47.2
"2017","서울특별시",85.0,80.5
"2017","부산광역시",60.1,52.9
"2017","대구광역시",56.6,49.9
"2017","인천광역시",65.4,60.5
"2017","광주광역시",49.2,44.8
"2017","대전광역시",57.1,50.9
"2017","울산광역시",69.9,60.2
"2017","세종특별자치시",70.5,58.0
"2017","경기도",70.1,61.3
"2017","강원도",29.1,24.1
"2017","충청북도",38.1,30.0
"2017","충청남도",39.3,34.3
"2017","전라북도",28.6,22.3
"2017","전라남도",26.2,20.0
"2017","경상북도",32.7,26.2
"2017","경상남도",45.0,38.7
"2017","제주특별자치도",39.6,33.7
"2018","전국",53.4,46.8
"2018","서울특별시",84.3,79.2
"2018","부산광역시",58.7,52.3
"2018","대구광역시",54.2,47.6
"2018","인천광역시",67.0,60.3
"2018","광주광역시",49.0,43.8
"2018","대전광역시",54.4,47.1
"2018","울산광역시",66.0,59.9
"2018","세종특별자치시",69.2,57.1
"2018","경기도",69.9,61.9
"2018","강원도",28.7,23.5
"2018","충청북도",37.4,29.6
"2018","충청남도",38.9,34.5
"2018","전라북도",27.9,21.5
"2018","전라남도",26.4,19.8
"2018","경상북도",33.3,26.2
"2018","경상남도",44.7,37.7
"2018","제주특별자치도",42.5,34.5
"2019","전국",51.4,44.9
"2019","서울특별시",82.2,76.5
"2019","부산광역시",56.7,50.0
"2019","대구광역시",51.6,45.9
"2019","인천광역시",64.6,57.7
"2019","광주광역시",46.8,40.8
"2019","대전광역시",48.2,43.9
"2019","울산광역시",59.7,53.7
"2019","세종특별자치시",72.7,62.1
"2019","경기도",68.4,60.5
"2019","강원도",28.6,23.5
"2019","충청북도",35.9,28.7
"2019","충청남도",37.8,33.0
"2019","전라북도",26.5,20.4
"2019","전라남도",25.7,19.1
"2019","경상북도",31.9,24.9
"2019","경상남도",40.5,33.4
"2019","제주특별자치도",36.5,33.0
"2020","전국",50.4,45.2
"2020","서울특별시",81.4,76.1
"2020","부산광역시",54.8,49.2
"2020","대구광역시",50.5,45.4
"2020","인천광역시",59.8,54.0
"2020","광주광역시",45.3,41.1
"2020","대전광역시",46.0,41.4
"2020","울산광역시",56.2,51.6
"2020","세종특별자치시",64.8,59.3
"2020","경기도",64.8,58.6
"2020","강원도",28.8,25.8
"2020","충청북도",34.8,30.1
"2020","충청남도",38.3,34.4
"2020","전라북도",30.1,24.9
"2020","전라남도",28.1,23.3
"2020","경상북도",32.1,27.1
"2020","경상남도",40.0,34.3
"2020","제주특별자치도",40.1,32.9
"2021","전국",48.7,43.6
"2021","서울특별시",80.6,75.6
"2021","부산광역시",49.8,46.1
"2021","대구광역시",48.9,44.6
"2021","인천광역시",56.1,50.3
"2021","광주광역시",44.5,40.8
"2021","대전광역시",45.1,39.9
"2021","울산광역시",54.4,49.6
"2021","세종특별자치시",64.0,58.8
"2021","경기도",63.7,57.3
"2021","강원도",28.3,24.5
"2021","충청북도",32.9,28.3
"2021","충청남도",36.9,32.3
"2021","전라북도",27.7,23.1
"2021","전라남도",27.0,22.2
"2021","경상북도",29.8,24.9
"2021","경상남도",38.9,33.5
"2021","제주특별자치도",38.7,32.7
"2022","전국",49.9,45.3
"2022","서울특별시",80.9,76.3
"2022","부산광역시",53.7,46.9
"2022","대구광역시",51.1,47.9
"2022","인천광역시",57.7,52.8
"2022","광주광역시",46.0,41.1
"2022","대전광역시",46.8,42.4
"2022","울산광역시",54.7,48.7
"2022","세종특별자치시",65.8,56.9
"2022","경기도",66.3,61.6
"2022","강원도",27.6,24.7
"2022","충청북도",34.7,30.2
"2022","충청남도",37.0,33.1
"2022","전라북도",28.1,23.8
"2022","전라남도",28.3,24.2
"2022","경상북도",30.0,25.6
"2022","경상남도",37.5,32.8
"2022","제주특별자치도",37.1,32.7
