"시도별(1)","시점",합계,합계,합계,합계,합계,합계,일반의,일반의,일반의,일반의,일반의,일반의,인턴,인턴,인턴,인턴,인턴,인턴,레지던트,레지던트,레지던트,레지던트,레지던트,전문의,전문의,전문의,전문의,전문의,전문의
"서울","2018",3187,867,1564,263,367,126,338,23,271,3,12,29,192,103,60,29,-,-,876,257,523,88,8,1781,484,710,143,347,97
"서울","2019",3118,859,1517,272,356,114,270,31,200,1,12,26,364,123,196,45,-,-,704,211,408,76,9,1780,494,713,150,335,88
"서울","2020",3054,840,1475,279,352,108,197,28,134,2,11,22,327,127,170,30,-,-,700,180,424,90,6,1830,505,747,157,335,86
"부산","2010",648,58,432,85,28,45,24,3,4,1,-,16,81,7,66,8,-,-,260,15,212,33,-,283,33,150,43,28,29
"부산","2011",679,104,424,90,30,31,13,5,-,1,-,7,65,5,51,9,-,-,249,17,198,34,-,352,77,175,46,30,24
"부산","2012",719,115,447,89,36,32,29,9,8,1,1,10,20,4,13,3,-,-,275,15,221,39,-,395,87,205,46,35,22
"부산","2013",725,119,445,91,40,30,26,11,4,1,1,9,21,-,14,7,-,-,270,17,219,34,-,408,91,208,49,39,21
"부산","2014",738,124,444,92,41,37,34,11,8,3,1,11,72,6,57,9,-,-,205,15,160,30,-,427,92,219,50,40,26
"부산","2015",755,127,465,84,44,35,15,5,1,-,-,9,28,5,21,2,-,-,262,18,211,33,-,450,99,232,49,44,26
"부산","2016",760,127,482,85,36,30,29,2,17,-,3,7,106,1,100,5,-,-,161,22,106,33,-,464,102,259,47,33,23
"부산","2017",789,131,517,86,27,28,76,2,64,-,3,7,23,6,13,4,-,-,196,17,149,30,-,494,106,291,52,24,21
"부산","2018",805,131,523,85,33,33,44,2,30,-,2,10,132,2,128,2,-,-,130,22,78,30,-,499,105,287,53,31,23
"부산","2019",807,136,516,86,37,32,16,2,3,-,2,9,94,3,82,9,-,-,198,23,152,23,-,499,108,279,54,35,23
"부산","2020",798,139,519,79,23,38,18,4,5,-,2,7,34,9,16,9,-,-,261,17,226,18,-,485,109,272,52,21,31
"대구","2010",651,40,513,56,15,27,43,3,32,-,1,7,73,-,68,5,-,-,245,-,225,20,-,290,37,188,31,14,20
"대구","2011",627,39,491,54,16,27,48,2,42,-,1,3,72,-,68,4,-,-,235,-,214,21,-,272,37,167,29,15,24
"대구","2012",704,39,571,54,16,24,70,2,60,-,1,7,38,-,36,2,-,-,263,-,241,22,-,333,37,234,30,15,17
"대구","2013",705,48,567,52,19,19,53,1,45,-,1,6,14,-,11,3,-,-,267,-,247,20,-,371,47,264,29,18,13
"대구","2014",680,50,535,53,18,24,13,-,4,1,1,7,28,-,23,5,-,-,273,-,259,14,-,366,50,249,33,17,17
"대구","2015",680,50,531,57,19,23,18,1,9,2,1,5,12,-,11,1,-,-,274,-,256,18,-,376,49,255,36,18,18
"대구","2016",700,55,550,55,19,21,30,1,25,1,-,3,172,-,169,3,-,-,108,-,93,15,-,390,54,263,36,19,18
"대구","2017",746,57,584,60,19,26,91,-,81,1,-,9,20,-,20,-,-,-,221,3,199,19,-,414,54,284,40,19,17
"대구","2018",712,60,549,59,18,26,15,-,9,-,1,5,41,-,40,1,-,-,224,6,200,18,-,432,54,300,40,17,21
"대구","2019",657,69,487,60,19,22,64,3,56,-,-,5,61,-,58,3,-,-,113,9,84,20,-,419,57,289,37,19,17
"대구","2020",610,68,447,56,18,21,28,1,23,-,-,4,92,-,88,4,-,-,61,9,33,19,-,429,58,303,33,18,17
"인천","2010",124,28,-,38,6,52,38,1,-,-,1,36,-,-,-,-,-,-,-,-,-,-,-,86,27,-,38,5,16
"인천","2011",104,30,-,39,7,28,12,2,-,-,2,8,-,-,-,-,-,-,1,1,-,-,-,91,27,-,39,5,20
"인천","2012",108,28,-,41,6,33,25,2,-,-,2,21,-,-,-,-,-,-,-,-,-,-,-,83,26,-,41,4,12
"인천","2013",120,30,-,44,6,40,26,2,-,-,1,23,-,-,-,-,-,-,-,-,-,-,-,94,28,-,44,5,17
"인천","2014",124,28,-,49,7,40,22,-,-,2,1,19,-,-,-,-,-,-,-,-,-,-,-,102,28,-,47,6,21
"인천","2015",118,29,-,47,6,36,17,2,-,1,1,13,-,-,-,-,-,-,-,-,-,-,-,101,27,-,46,5,23
"인천","2016",113,31,-,48,6,28,10,1,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,103,30,-,48,5,20
"인천","2017",123,32,-,53,9,29,17,1,-,2,3,11,-,-,-,-,-,-,-,-,-,-,-,106,31,-,51,6,18
"인천","2018",121,28,-,52,7,34,18,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,103,28,-,52,7,16
"인천","2019",130,45,-,43,8,34,24,-,-,1,2,21,-,-,-,-,-,-,-,-,-,-,-,106,45,-,42,6,13
"인천","2020",129,53,-,44,8,24,16,2,-,1,2,11,-,-,-,-,-,-,-,-,-,-,-,113,51,-,43,6,13
"광주","2010",490,83,384,-,11,12,39,1,33,-,2,3,50,9,41,-,-,-,224,30,194,-,-,177,43,116,-,9,9
"광주","2011",590,83,482,-,11,14,38,-,33,-,2,3,74,7,67,-,-,-,238,34,204,-,-,240,42,178,-,9,11
"광주","2012",495,86,384,-,12,13,36,-,31,-,2,3,62,7,55,-,-,-,166,34,132,-,-,231,45,166,-,10,10
"광주","2013",469,94,350,-,13,12,38,2,31,-,2,3,54,7,47,-,-,-,147,39,108,-,-,230,46,164,-,11,9
"광주","2014",509,88,393,-,15,13,46,4,38,-,1,3,72,16,56,-,-,-,126,21,105,-,-,265,47,194,-,14,10
"광주","2015",428,93,310,-,13,12,49,1,45,-,-,3,73,27,46,-,-,-,62,13,49,-,-,244,52,170,-,13,9
"광주","2016",436,86,324,-,16,10,59,2,55,-,-,2,47,1,46,-,-,-,68,32,36,-,-,262,51,187,-,16,8
"광주","2017",504,87,384,-,20,13,62,2,54,-,2,4,138,21,117,-,-,-,29,13,16,-,-,275,51,197,-,18,9
"광주","2018",548,84,434,-,18,12,75,3,66,-,2,4,58,2,56,-,-,-,103,29,74,-,-,312,50,238,-,16,8
"광주","2019",431,89,310,-,21,11,73,8,58,-,3,4,34,2,32,-,-,-,50,25,25,-,-,274,54,195,-,18,7
"광주","2020",445,88,324,-,21,12,42,5,29,-,4,4,58,14,44,-,-,-,57,15,42,-,-,288,54,209,-,17,8
"대전","2010",495,60,408,-,9,18,15,5,1,-,-,9,52,-,52,-,-,-,205,9,196,-,-,223,46,159,-,9,9
"대전","2011",469,37,414,-,10,8,15,-,14,-,-,1,39,-,39,-,-,-,190,9,181,-,-,225,28,180,-,10,7
"대전","2012",543,38,426,-,69,10,32,-,27,-,1,4,45,-,45,-,-,-,170,9,161,-,-,296,29,193,-,68,6
"대전","2013",551,39,456,-,45,11,11,-,6,-,1,4,11,-,11,-,-,-,237,9,228,-,-,292,30,211,-,44,7
"대전","2014",550,61,455,-,20,14,18,4,7,-,2,5,10,-,10,-,-,-,229,8,221,-,-,293,49,217,-,18,9
"대전","2015",535,65,442,-,15,13,34,4,21,-,2,7,108,-,108,-,-,-,106,6,100,-,-,287,55,213,-,13,6
"대전","2016",559,65,468,-,15,11,24,2,16,-,3,3,142,-,142,-,-,-,82,5,77,-,-,311,58,233,-,12,8
"대전","2017",563,64,479,-,11,9,25,2,18,-,2,3,157,-,157,-,-,-,55,5,50,-,-,326,57,254,-,9,6
"대전","2018",567,65,477,-,12,13,56,1,46,-,3,6,15,-,15,-,-,-,175,7,168,-,-,321,57,248,-,9,7
"대전","2019",600,71,505,-,15,9,57,1,49,-,3,4,21,-,21,-,-,-,167,7,160,-,-,355,63,275,-,12,5
"대전","2020",611,71,516,-,14,10,31,1,24,-,2,4,166,-,166,-,-,-,40,7,33,-,-,374,63,293,-,12,6
"울산","2010",23,-,-,-,-,23,14,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,9
"울산","2011",8,-,-,-,-,8,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5
"울산","2012",14,-,-,-,-,14,9,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5
"울산","2013",15,-,-,-,2,13,7,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,2,6
"울산","2014",10,-,-,-,2,8,4,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,1,5
"울산","2015",13,-,-,-,2,11,6,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,1,6
"울산","2016",11,-,-,-,2,9,4,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,1,6
"울산","2017",15,-,-,-,2,13,8,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,2,5
"울산","2018",14,-,-,-,2,12,6,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,2,6
"울산","2019",12,-,-,-,2,10,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,2,5
"울산","2020",13,-,-,-,2,11,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,2,6
"세종","2010",7,-,-,-,-,7,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"세종","2011",2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"세종","2012",6,-,-,-,-,6,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,4
"세종","2013",4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"세종","2014",7,-,-,-,-,7,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"세종","2015",6,-,-,-,-,6,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"세종","2016",3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"세종","2017",2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"세종","2018",7,-,-,-,-,7,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2
"세종","2019",5,-,-,-,-,5,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"세종","2020",3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"경기","2010",1097,312,297,64,199,225,130,1,3,-,3,123,4,-,2,-,1,1,22,3,19,-,-,941,308,273,64,195,101
"경기","2011",1022,329,315,75,201,102,38,2,5,1,3,27,3,-,3,-,-,-,23,2,21,-,-,958,325,286,74,198,75
"경기","2012",1084,329,367,87,185,116,79,2,9,1,9,58,14,-,14,-,-,-,18,-,17,1,-,973,327,327,85,176,58
"경기","2013",1117,347,399,96,158,117,78,3,7,2,10,56,2,-,2,-,-,-,37,6,30,1,-,1000,338,360,93,148,61
"경기","2014",1227,349,454,111,155,158,100,5,8,1,13,73,1,-,1,-,-,-,55,14,40,1,-,1071,330,405,109,142,85
"경기","2015",1233,372,471,110,157,123,62,6,8,-,9,39,2,-,2,-,-,-,69,18,48,3,-,1100,348,413,107,148,84
"경기","2016",1250,395,499,106,147,103,55,10,16,-,8,21,-,-,-,-,-,-,78,27,49,2,-,1117,358,434,104,139,82
"경기","2017",1300,410,527,114,134,115,102,13,37,-,8,44,5,-,5,-,-,-,62,26,34,2,-,1131,371,451,112,126,71
"경기","2018",1324,423,546,123,118,114,118,16,52,1,7,42,8,-,8,-,-,-,54,22,32,-,-,1144,385,454,122,111,72
"경기","2019",1399,440,585,131,132,111,99,13,38,2,5,41,4,-,2,-,-,2,100,23,77,-,-,1196,404,468,129,127,68
"경기","2020",1515,463,634,162,146,110,109,10,46,2,2,49,4,-,3,-,-,1,124,28,96,-,-,1278,425,489,160,144,60
"강원","2010",407,36,132,41,43,155,101,2,2,1,-,96,10,-,10,-,-,-,50,8,42,-,-,246,26,78,40,43,59
"강원","2011",327,34,145,43,46,59,15,2,2,1,1,9,12,-,12,-,-,-,48,7,41,-,-,252,25,90,42,45,50
"강원","2012",349,37,156,49,35,72,47,2,4,-,-,41,11,-,11,-,-,-,49,7,42,-,-,242,28,99,49,35,31
"강원","2013",377,40,173,49,45,70,44,2,3,1,1,37,3,-,3,-,-,-,62,7,55,-,-,268,31,112,48,44,33
"강원","2014",425,40,186,53,55,91,46,1,2,2,1,40,3,-,3,-,-,-,74,7,67,-,-,302,32,114,51,54,51
"강원","2015",431,43,191,61,49,87,52,1,4,3,-,44,7,-,7,-,-,-,76,8,68,-,-,296,34,112,58,49,43
"강원","2016",419,46,202,68,50,53,12,2,2,1,2,5,6,-,6,-,-,-,83,8,75,-,-,318,36,119,67,48,48
"강원","2017",464,53,220,71,51,69,58,4,7,1,3,43,54,-,54,-,-,-,34,8,26,-,-,318,41,133,70,48,26
"강원","2018",448,49,210,75,25,89,65,3,6,2,1,53,46,-,46,-,-,-,44,8,36,-,-,293,38,122,73,24,36
"강원","2019",429,46,218,80,20,65,47,3,-,2,2,40,18,-,17,-,-,1,77,8,69,-,-,287,35,132,78,18,24
"강원","2020",441,53,224,88,15,61,43,1,-,-,1,41,27,-,27,-,-,-,69,8,61,-,-,302,44,136,88,14,20
"충북","2010",424,-,249,40,21,114,88,-,8,2,-,78,29,-,29,-,-,-,107,-,107,-,-,200,-,105,38,21,36
"충북","2011",352,-,253,44,24,31,7,-,5,-,-,2,30,-,30,-,-,-,107,-,105,2,-,208,-,113,42,24,29
"충북","2012",406,-,268,50,30,58,52,-,15,2,1,34,26,-,25,-,-,1,102,-,100,2,-,226,-,128,46,29,23
"충북","2013",424,-,277,55,35,57,35,-,10,2,3,20,3,-,3,-,-,-,132,-,130,2,-,254,-,134,51,32,37
"충북","2014",447,-,276,59,41,71,44,-,12,1,4,27,2,-,2,-,-,-,128,-,128,-,-,273,-,134,58,37,44
"충북","2015",432,-,261,62,45,64,46,-,13,-,3,30,78,-,77,1,-,-,39,-,39,-,-,269,-,132,61,42,34
"충북","2016",415,-,273,67,46,29,21,-,17,-,2,2,3,-,3,-,-,-,103,-,103,-,-,288,-,150,67,44,27
"충북","2017",448,-,293,60,49,46,34,-,10,-,4,20,7,-,7,-,-,-,101,-,101,-,-,306,-,175,60,45,26
"충북","2018",461,-,284,64,47,66,50,-,11,-,4,35,6,-,6,-,-,-,98,-,98,-,-,307,-,169,64,43,31
"충북","2019",463,-,290,71,50,52,36,-,5,-,4,27,84,-,84,-,-,-,24,-,24,-,-,319,-,177,71,46,25
"충북","2020",479,-,318,71,49,41,32,-,7,-,3,22,61,-,61,-,-,-,58,-,58,-,-,328,-,192,71,46,19
"충남","2010",285,17,-,48,13,207,121,1,-,1,-,119,1,-,-,-,-,1,8,8,-,-,-,155,8,-,47,13,87
"충남","2011",158,17,-,53,26,62,7,2,-,2,-,3,-,-,-,-,-,-,6,6,-,-,-,145,9,-,51,26,59
"충남","2012",180,15,-,62,15,88,38,-,-,-,-,38,1,-,-,-,-,1,8,8,-,-,-,133,7,-,62,15,49
"충남","2013",179,14,-,69,11,85,53,-,-,-,-,53,-,-,-,-,-,-,7,7,-,-,-,119,7,-,69,11,32
"충남","2014",201,16,-,75,9,101,52,1,-,1,1,49,-,-,-,-,-,-,7,7,-,-,-,142,8,-,74,8,52
"충남","2015",208,17,-,81,18,92,32,-,-,1,-,31,-,-,-,-,-,-,7,7,-,-,-,169,10,-,80,18,61
"충남","2016",179,17,-,76,32,54,3,-,-,-,-,3,-,-,-,-,-,-,7,7,-,-,-,169,10,-,76,32,51
"충남","2017",204,18,-,90,23,73,29,-,-,-,-,29,-,-,-,-,-,-,6,6,-,-,-,169,12,-,90,23,44
"충남","2018",248,19,-,100,15,114,65,-,-,-,-,65,-,-,-,-,-,-,5,5,-,-,-,178,14,-,100,15,49
"충남","2019",250,15,-,99,10,126,87,-,-,-,1,86,1,-,-,-,-,1,5,5,-,-,-,157,10,-,99,9,39
"충남","2020",221,14,-,107,11,89,54,-,-,-,1,53,1,-,-,-,-,1,6,6,-,-,-,160,8,-,107,10,35
"전북","2010",701,-,385,75,11,230,174,-,18,5,-,151,47,-,43,4,-,-,186,-,161,25,-,294,-,163,41,11,79
"전북","2011",548,-,379,76,10,83,53,-,43,3,-,7,33,-,32,1,-,-,161,-,138,23,-,301,-,166,49,10,76
"전북","2012",583,-,407,58,14,104,122,-,65,4,-,53,11,-,10,1,-,-,160,-,146,14,-,290,-,186,39,14,51
"전북","2013",617,-,407,65,17,128,95,-,23,2,2,68,7,-,6,1,-,-,196,-,183,13,-,319,-,195,49,15,60
"전북","2014",627,-,417,68,20,122,50,-,7,1,2,40,19,-,16,3,-,-,209,-,198,11,-,349,-,196,53,18,82
"전북","2015",623,-,409,65,28,121,63,-,6,1,2,54,13,-,10,3,-,-,204,-,195,9,-,343,-,198,52,26,67
"전북","2016",569,-,410,70,28,61,12,-,5,-,1,6,13,-,10,3,-,-,200,-,196,4,-,344,-,199,63,27,55
"전북","2017",606,-,413,78,30,85,105,-,60,-,2,43,14,-,13,1,-,-,136,-,131,4,1,351,-,209,73,27,42
"전북","2018",629,-,404,83,28,114,112,-,51,-,2,59,19,-,16,3,-,-,142,-,133,7,2,356,-,204,73,24,55
"전북","2019",618,-,389,93,30,106,113,-,42,-,2,69,16,-,12,3,-,1,153,-,139,11,3,336,-,196,79,25,36
"전북","2020",614,-,396,92,31,95,60,-,-,-,2,58,11,-,7,4,-,-,188,-,175,11,2,355,-,214,77,27,37
"전남","2010",520,52,161,17,33,257,218,2,10,1,1,204,40,-,40,-,-,-,33,9,24,-,-,229,41,87,16,32,53
"전남","2011",306,52,133,19,35,67,23,3,11,1,3,5,12,-,12,-,-,-,48,9,39,-,-,223,40,71,18,32,62
"전남","2012",419,54,159,26,39,141,98,4,4,2,4,84,24,-,24,-,-,-,64,8,56,-,-,233,42,75,24,35,57
"전남","2013",441,48,153,27,50,163,117,7,5,2,7,96,25,-,25,-,-,-,54,5,49,-,-,245,36,74,25,43,67
"전남","2014",410,51,96,26,47,190,99,7,2,2,6,82,7,-,7,-,-,-,29,4,25,-,-,275,40,62,24,41,108
"전남","2015",359,50,86,26,47,150,76,5,2,2,3,64,-,-,-,-,-,-,13,7,6,-,-,270,38,78,24,44,86
"전남","2016",285,51,72,27,42,93,20,7,1,2,3,7,1,-,1,-,-,-,11,5,6,-,-,253,39,64,25,39,86
"전남","2017",304,57,48,29,50,120,86,5,1,1,4,75,-,-,-,-,-,-,10,6,4,-,-,208,46,43,28,46,45
"전남","2018",390,60,65,34,56,175,131,5,1,3,4,118,-,-,-,-,-,-,9,6,3,-,-,250,49,61,31,52,57
"전남","2019",370,60,76,34,51,149,119,4,1,2,3,109,12,2,-,-,-,10,8,7,1,-,-,231,47,74,32,48,30
"전남","2020",322,59,70,36,49,108,98,3,1,2,2,90,2,2,-,-,-,-,8,8,-,-,-,214,46,69,34,47,18
"경북","2010",371,-,-,47,36,288,207,-,-,1,5,201,-,-,-,-,-,-,-,-,-,-,-,164,-,-,46,31,87
"경북","2011",149,-,-,46,34,69,7,-,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-,142,-,-,45,33,64
"경북","2012",251,-,-,53,64,134,68,-,-,1,1,66,-,-,-,-,-,-,-,-,-,-,-,183,-,-,52,63,68
"경북","2013",292,-,-,67,88,137,76,-,-,3,5,68,-,-,-,-,-,-,-,-,-,-,-,216,-,-,64,83,69
"경북","2014",337,-,-,70,99,168,87,-,-,4,4,79,-,-,-,-,-,-,-,-,-,-,-,250,-,-,66,95,89
"경북","2015",309,-,-,71,87,151,70,-,-,2,6,62,-,-,-,-,-,-,-,-,-,-,-,239,-,-,69,81,89
"경북","2016",238,-,-,78,69,91,14,-,-,2,5,7,-,-,-,-,-,-,-,-,-,-,-,224,-,-,76,64,84
"경북","2017",274,-,-,91,57,126,83,-,-,3,5,75,-,-,-,-,-,-,-,-,-,-,-,191,-,-,88,52,51
"경북","2018",314,-,-,93,67,154,93,-,-,4,5,84,-,-,-,-,-,-,-,-,-,-,-,221,-,-,89,62,70
"경북","2019",338,-,-,118,70,150,108,-,-,5,3,100,-,-,-,-,-,-,-,-,-,-,-,230,-,-,113,67,50
"경북","2020",318,-,-,110,65,143,109,-,-,3,4,102,-,-,-,-,-,-,-,-,-,-,-,209,-,-,107,61,41
"경남","2010",833,56,459,28,33,257,234,1,19,1,4,209,38,-,37,-,-,1,142,9,133,-,-,419,46,270,27,29,47
"경남","2011",718,57,520,29,32,80,58,-,26,1,3,28,48,2,46,-,-,-,155,12,143,-,-,457,43,305,28,29,52
"경남","2012",827,58,563,33,46,127,115,-,36,1,9,69,27,-,27,-,-,-,181,13,168,-,-,504,45,332,32,37,58
"경남","2013",889,58,591,33,57,150,154,2,58,2,11,81,25,-,25,-,-,-,180,11,169,-,-,530,45,339,31,46,69
"경남","2014",892,52,630,22,56,132,91,2,20,-,11,58,14,-,14,-,-,-,243,10,233,-,-,544,40,363,22,45,74
"경남","2015",941,59,668,22,54,138,131,3,51,-,9,68,17,-,17,-,-,-,221,9,212,-,-,572,47,388,22,45,70
"경남","2016",923,61,704,25,52,81,73,3,44,1,10,15,12,-,12,-,-,-,236,7,229,-,-,602,51,419,24,42,66
"경남","2017",1077,59,827,25,56,110,186,2,114,-,12,58,73,-,73,-,-,-,122,6,116,-,-,696,51,524,25,44,52
"경남","2018",1140,60,857,31,56,136,143,2,48,1,7,85,134,-,134,-,-,-,102,5,97,-,-,761,53,578,30,49,51
"경남","2019",1100,56,839,34,60,111,128,3,51,1,6,67,151,-,149,-,-,2,85,5,80,-,-,736,48,559,33,54,42
"경남","2020",1143,54,887,38,60,104,130,4,44,2,7,73,82,-,82,-,-,-,182,6,176,-,-,749,44,585,36,53,31
"제주","2010",163,-,119,15,-,29,25,-,4,2,-,19,-,-,-,-,-,-,40,-,40,-,-,98,-,75,13,-,10
"제주","2011",174,-,151,13,-,10,3,-,3,-,-,-,3,-,3,-,-,-,57,-,57,-,-,111,-,88,13,-,10
"제주","2012",200,-,171,17,-,12,9,-,4,-,-,5,3,-,3,-,-,-,57,-,57,-,-,131,-,107,17,-,7
"제주","2013",216,-,181,22,-,13,12,-,6,1,-,5,21,-,21,-,-,-,40,-,40,-,-,143,-,114,21,-,8
"제주","2014",231,-,187,22,3,19,15,-,6,-,-,9,33,-,33,-,-,-,31,-,31,-,-,152,-,117,22,3,10
"제주","2015",245,-,198,28,3,16,9,-,3,-,-,6,4,-,4,-,-,-,61,-,61,-,-,171,-,130,28,3,10
"제주","2016",249,-,207,29,3,10,7,-,5,-,-,2,1,-,1,-,-,-,64,-,64,-,-,177,-,137,29,3,8
"제주","2017",269,-,221,37,3,8,9,-,6,-,-,3,3,-,3,-,-,-,58,-,58,-,-,199,-,154,37,3,5
"제주","2018",268,-,212,40,3,13,8,-,4,-,-,4,7,-,7,-,-,-,58,-,58,-,-,195,-,143,40,3,9
"제주","2019",272,-,220,40,3,9,6,-,4,-,-,2,6,-,6,-,-,-,62,-,62,-,-,198,-,148,40,3,7
"제주","2020",284,-,226,43,4,11,12,-,7,-,-,5,47,-,47,-,-,-,22,-,22,-,-,203,-,150,43,4,6
